@RELATION BnB
@ATTRIBUTE a1 REAL
@ATTRIBUTE a2 REAL
@ATTRIBUTE a3 REAL
@ATTRIBUTE a4 REAL
@ATTRIBUTE a5 REAL
@ATTRIBUTE a6 REAL
@ATTRIBUTE a7 REAL
@ATTRIBUTE a8 REAL
@ATTRIBUTE a9 REAL
@ATTRIBUTE a10 REAL
@ATTRIBUTE a11 REAL
@ATTRIBUTE a12 REAL
@ATTRIBUTE a13 REAL
@ATTRIBUTE a14 REAL
@ATTRIBUTE a15 REAL
@ATTRIBUTE a16 REAL
@ATTRIBUTE a17 REAL
@ATTRIBUTE a18 REAL
@ATTRIBUTE a19 REAL
@ATTRIBUTE a20 REAL
@ATTRIBUTE a21 REAL
@ATTRIBUTE a22 REAL
@ATTRIBUTE a23 REAL
@ATTRIBUTE a24 REAL
@ATTRIBUTE a25 REAL
@ATTRIBUTE a26 REAL
@ATTRIBUTE a27 REAL
@ATTRIBUTE a28 REAL
@ATTRIBUTE a29 REAL
@ATTRIBUTE a30 REAL
@ATTRIBUTE a31 REAL
@ATTRIBUTE a32 REAL
@ATTRIBUTE a33 REAL
@ATTRIBUTE a34 REAL
@ATTRIBUTE a35 REAL
@ATTRIBUTE a36 REAL
@ATTRIBUTE a37 REAL
@ATTRIBUTE a38 REAL
@ATTRIBUTE a39 REAL
@ATTRIBUTE a40 REAL
@ATTRIBUTE a41 REAL
@ATTRIBUTE a42 REAL
@ATTRIBUTE a43 REAL
@ATTRIBUTE a44 REAL
@ATTRIBUTE a45 REAL
@ATTRIBUTE a46 REAL
@ATTRIBUTE a47 REAL
@ATTRIBUTE a48 REAL
@ATTRIBUTE a49 REAL
@ATTRIBUTE a50 REAL
@ATTRIBUTE a51 REAL
@ATTRIBUTE a52 REAL
@ATTRIBUTE a53 REAL
@ATTRIBUTE a54 REAL
@ATTRIBUTE a55 REAL
@ATTRIBUTE a56 REAL
@ATTRIBUTE a57 REAL
@ATTRIBUTE a58 REAL
@ATTRIBUTE a59 REAL
@ATTRIBUTE a60 REAL
@ATTRIBUTE a61 REAL
@ATTRIBUTE a62 REAL
@ATTRIBUTE a63 REAL
@ATTRIBUTE a64 REAL
@ATTRIBUTE a65 REAL
@ATTRIBUTE a66 REAL
@ATTRIBUTE a67 REAL
@ATTRIBUTE a68 REAL
@ATTRIBUTE a69 REAL
@ATTRIBUTE a70 REAL
@ATTRIBUTE a71 REAL
@ATTRIBUTE a72 REAL
@ATTRIBUTE a73 REAL
@ATTRIBUTE a74 REAL
@ATTRIBUTE a75 REAL
@ATTRIBUTE a76 REAL
@ATTRIBUTE a77 REAL
@ATTRIBUTE a78 REAL
@ATTRIBUTE a79 REAL
@ATTRIBUTE a80 REAL
@ATTRIBUTE a81 REAL
@ATTRIBUTE a82 REAL
@ATTRIBUTE a83 REAL
@ATTRIBUTE a84 REAL
@ATTRIBUTE a85 REAL
@ATTRIBUTE a86 REAL
@ATTRIBUTE a87 REAL
@ATTRIBUTE a88 REAL
@ATTRIBUTE a89 REAL
@ATTRIBUTE a90 REAL
@ATTRIBUTE a91 REAL
@ATTRIBUTE a92 REAL
@ATTRIBUTE a93 REAL
@ATTRIBUTE a94 REAL
@ATTRIBUTE a95 REAL
@ATTRIBUTE a96 REAL
@ATTRIBUTE a97 REAL
@ATTRIBUTE a98 REAL
@ATTRIBUTE a99 REAL
@ATTRIBUTE a100 REAL
@ATTRIBUTE a101 REAL
@ATTRIBUTE a102 REAL
@ATTRIBUTE a103 REAL
@ATTRIBUTE a104 REAL
@ATTRIBUTE a105 REAL
@ATTRIBUTE a106 REAL
@ATTRIBUTE a107 REAL
@ATTRIBUTE a108 REAL
@ATTRIBUTE a109 REAL
@ATTRIBUTE a110 REAL
@ATTRIBUTE a111 REAL
@ATTRIBUTE a112 REAL
@ATTRIBUTE a113 REAL
@ATTRIBUTE a114 REAL
@ATTRIBUTE a115 REAL
@ATTRIBUTE a116 REAL
@ATTRIBUTE a117 REAL
@ATTRIBUTE a118 REAL
@ATTRIBUTE a119 REAL
@ATTRIBUTE a120 REAL
@ATTRIBUTE a121 REAL
@ATTRIBUTE a122 REAL
@ATTRIBUTE a123 REAL
@ATTRIBUTE a124 REAL
@ATTRIBUTE a125 REAL
@ATTRIBUTE a126 REAL
@ATTRIBUTE a127 REAL
@ATTRIBUTE a128 REAL
@ATTRIBUTE a129 REAL
@ATTRIBUTE a130 REAL
@ATTRIBUTE a131 REAL
@ATTRIBUTE a132 REAL
@ATTRIBUTE a133 REAL
@ATTRIBUTE a134 REAL
@ATTRIBUTE a135 REAL
@ATTRIBUTE a136 REAL
@ATTRIBUTE a137 REAL
@ATTRIBUTE a138 REAL
@ATTRIBUTE a139 REAL
@ATTRIBUTE a140 REAL
@ATTRIBUTE a141 REAL
@ATTRIBUTE a142 REAL
@ATTRIBUTE a143 REAL
@ATTRIBUTE a144 REAL
@ATTRIBUTE a145 REAL
@ATTRIBUTE a146 REAL
@ATTRIBUTE a147 REAL
@ATTRIBUTE a148 REAL
@ATTRIBUTE a149 REAL
@ATTRIBUTE a150 REAL
@ATTRIBUTE class     {0, 1}
@DATA
0.087678, 0.177413, 0.243966, 0.193303, 0.106560, 0.147127, 0.103756, 0.091791, 0.091230, 0.080200, 0.077770, 0.079266, 0.068236, 0.048606, 0.028977, 0.021873, 0.016077, 0.018695, 0.011778, 0.011217, 0.012152, 0.007665, 0.014395, 0.009347, 0.008787, 0.006543, 0.007852, 0.012339, 0.009534, 0.010656, 0.009721, 0.008787, 0.013460, 0.018695, 0.019443, 0.025986, 0.024116, 0.030285, 0.025799, 0.029725, 0.028603, 0.028977, 0.032155, 0.030472, 0.054776, 0.063562, 0.178721, 0.261913, 0.213494, 0.159466, 0.000000, 0.000000, 0.000000, 0.000748, 0.003552, 0.016825, 0.009347, 0.023555, 0.063375, 0.103756, 0.060758, 0.092165, 0.081509, 0.114225, 0.120207, 0.057954, 0.106186, 0.088613, 0.050663, 0.077583, 0.047111, 0.054402, 0.069544, 0.054028, 0.048606, 0.073470, 0.049728, 0.070853, 0.066366, 0.077957, 0.066179, 0.069357, 0.081509, 0.045989, 0.034211, 0.030472, 0.021125, 0.035146, 0.043372, 0.050476, 0.056832, 0.104877, 0.111421, 0.132172, 0.181339, 0.124320, 0.084687, 0.034024, 0.011404, 0.060945, 0.000000, 0.000000, 0.000000, 0.000187, 0.000935, 0.002243, 0.002991, 0.003178, 0.003552, 0.010469, 0.031407, 0.031033, 0.031407, 0.027855, 0.026173, 0.029538, 0.074779, 0.084313, 0.060010, 0.089735, 0.055897, 0.077022, 0.095530, 0.070666, 0.077957, 0.101325, 0.100391, 0.139089, 0.125068, 0.088052, 0.086930, 0.069170, 0.118151, 0.120768, 0.124133, 0.148436, 0.123946, 0.154044, 0.171431, 0.178535, 0.125815, 0.068236, 0.037016, 0.008226, 0.005982, 0.006169, 0.006356, 0.010469, 0.019256, 0.039072, 0
0.004518, 0.014946, 0.032324, 0.062041, 0.106530, 0.137117, 0.105140, 0.168919, 0.174654, 0.183344, 0.140766, 0.092628, 0.081505, 0.045010, 0.031977, 0.029022, 0.028327, 0.028675, 0.019464, 0.021549, 0.020159, 0.026415, 0.030934, 0.031108, 0.095930, 0.117826, 0.085155, 0.194466, 0.170136, 0.147370, 0.093149, 0.045358, 0.065517, 0.051093, 0.039102, 0.031455, 0.027632, 0.026242, 0.012513, 0.009384, 0.007473, 0.003823, 0.003823, 0.001390, 0.000695, 0.000695, 0.000000, 0.000000, 0.000000, 0.000000, 0.000521, 0.000174, 0.000174, 0.002781, 0.002607, 0.003476, 0.003997, 0.010253, 0.021376, 0.038754, 0.043273, 0.118869, 0.161620, 0.060304, 0.056133, 0.094539, 0.157276, 0.221055, 0.164749, 0.104619, 0.065517, 0.043620, 0.038233, 0.024851, 0.025546, 0.021028, 0.019464, 0.021897, 0.022071, 0.022071, 0.028501, 0.039971, 0.115220, 0.110180, 0.120259, 0.175002, 0.153452, 0.170483, 0.053352, 0.045706, 0.054047, 0.047270, 0.045879, 0.033367, 0.026763, 0.021376, 0.012860, 0.013208, 0.007125, 0.002433, 0.000000, 0.000521, 0.000348, 0.001564, 0.000695, 0.001216, 0.003128, 0.008342, 0.009211, 0.018421, 0.025720, 0.023461, 0.028153, 0.024156, 0.031455, 0.028327, 0.093844, 0.165791, 0.055959, 0.041708, 0.047965, 0.089152, 0.162142, 0.151888, 0.142504, 0.115046, 0.074728, 0.052657, 0.030412, 0.020854, 0.022418, 0.020159, 0.022071, 0.015467, 0.019290, 0.022245, 0.034236, 0.100448, 0.147718, 0.224704, 0.290222, 0.110527, 0.047443, 0.059608, 0.072642, 0.071426, 0.053352, 0.042056, 0.017726, 0.004171, 0
0.011777, 0.024716, 0.032512, 0.033673, 0.042631, 0.046114, 0.050261, 0.082275, 0.073650, 0.080451, 0.083105, 0.089076, 0.079787, 0.055569, 0.067844, 0.073152, 0.060048, 0.064692, 0.046114, 0.045948, 0.050593, 0.080783, 0.140001, 0.163887, 0.128390, 0.125570, 0.136020, 0.161399, 0.141494, 0.153603, 0.137513, 0.083602, 0.043626, 0.017251, 0.007299, 0.001161, 0.000332, 0.000995, 0.000332, 0.000000, 0.000000, 0.000000, 0.000332, 0.000000, 0.000000, 0.000166, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000332, 0.000000, 0.000166, 0.000829, 0.001327, 0.003152, 0.014597, 0.025711, 0.047607, 0.057062, 0.073318, 0.072489, 0.092394, 0.130546, 0.101849, 0.087915, 0.066683, 0.045616, 0.053579, 0.039147, 0.045285, 0.056564, 0.063863, 0.078958, 0.068839, 0.082275, 0.095546, 0.153769, 0.296258, 0.194409, 0.179314, 0.164385, 0.145641, 0.131044, 0.039977, 0.003649, 0.001161, 0.000829, 0.000664, 0.000332, 0.000000, 0.000332, 0.000166, 0.000166, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000166, 0.000000, 0.000166, 0.000166, 0.000995, 0.000829, 0.001161, 0.001825, 0.003152, 0.003649, 0.005972, 0.008626, 0.009455, 0.015593, 0.040308, 0.044787, 0.057394, 0.071493, 0.076636, 0.097702, 0.077299, 0.086091, 0.073152, 0.080119, 0.083934, 0.060214, 0.044289, 0.054906, 0.054740, 0.074147, 0.070996, 0.073982, 0.087749, 0.124077, 0.141660, 0.101683, 0.170688, 0.273864, 0.205854, 0.271376, 0.062370, 0.001991, 0.001493, 0.000332, 0.000332, 0.000332, 0.000000, 0
0.001449, 0.010144, 0.023767, 0.036085, 0.058403, 0.098980, 0.144050, 0.162889, 0.118254, 0.110139, 0.122022, 0.125210, 0.126660, 0.048693, 0.019709, 0.009130, 0.008260, 0.009565, 0.007391, 0.011883, 0.028114, 0.051012, 0.040143, 0.020434, 0.016521, 0.016231, 0.017245, 0.014927, 0.015072, 0.015506, 0.014057, 0.012028, 0.017100, 0.011449, 0.013912, 0.021013, 0.044780, 0.163179, 0.221292, 0.213611, 0.104777, 0.033911, 0.004782, 0.002319, 0.002898, 0.002174, 0.001739, 0.001304, 0.000145, 0.000000, 0.000000, 0.000000, 0.000000, 0.000145, 0.000290, 0.000145, 0.000580, 0.000580, 0.001449, 0.001594, 0.003188, 0.001739, 0.003478, 0.010289, 0.016376, 0.029564, 0.051736, 0.142890, 0.180135, 0.180859, 0.148687, 0.155354, 0.209988, 0.137094, 0.080430, 0.040143, 0.020723, 0.023477, 0.019709, 0.020434, 0.017970, 0.018260, 0.019274, 0.014927, 0.029419, 0.101588, 0.216510, 0.298389, 0.124341, 0.035650, 0.007681, 0.004058, 0.002609, 0.001304, 0.000870, 0.000290, 0.000000, 0.000000, 0.000145, 0.000000, 0.000000, 0.000145, 0.000870, 0.000725, 0.001884, 0.001449, 0.001159, 0.000725, 0.002174, 0.001884, 0.005652, 0.008550, 0.015217, 0.015217, 0.031158, 0.046374, 0.050577, 0.086082, 0.081445, 0.098690, 0.128688, 0.133181, 0.178541, 0.146803, 0.142746, 0.137528, 0.097241, 0.068112, 0.038983, 0.064634, 0.168686, 0.278825, 0.240856, 0.052171, 0.014347, 0.007246, 0.006811, 0.005797, 0.004348, 0.002753, 0.002898, 0.001449, 0.001014, 0.000290, 0.000290, 0.000000, 0.000000, 0.000000, 0.000145, 0.000000, 0
0.000000, 0.000000, 0.000514, 0.002570, 0.006553, 0.010793, 0.007709, 0.011949, 0.017217, 0.066812, 0.088269, 0.085057, 0.095207, 0.062058, 0.052679, 0.046640, 0.048439, 0.057432, 0.051908, 0.043171, 0.047282, 0.056790, 0.076320, 0.062315, 0.043042, 0.048824, 0.057689, 0.064628, 0.068097, 0.048439, 0.071309, 0.107798, 0.164074, 0.154438, 0.140690, 0.099575, 0.027367, 0.007067, 0.002056, 0.000771, 0.000257, 0.000257, 0.000514, 0.000257, 0.000128, 0.000128, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000257, 0.000771, 0.001670, 0.005268, 0.004497, 0.005653, 0.006039, 0.003598, 0.003598, 0.003598, 0.003598, 0.003598, 0.003726, 0.005653, 0.029551, 0.074906, 0.076962, 0.077476, 0.072465, 0.056148, 0.054477, 0.049980, 0.051522, 0.060516, 0.055377, 0.060516, 0.077476, 0.100346, 0.197994, 0.177694, 0.247204, 0.338684, 0.167672, 0.018887, 0.002827, 0.002056, 0.002056, 0.000642, 0.000128, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000128, 0.000128, 0.000128, 0.000514, 0.000642, 0.001927, 0.003855, 0.004882, 0.007452, 0.005653, 0.004111, 0.003084, 0.003983, 0.003341, 0.003084, 0.002570, 0.002827, 0.002313, 0.004497, 0.004882, 0.005653, 0.005139, 0.003726, 0.010536, 0.016061, 0.031350, 0.084029, 0.140305, 0.272643, 0.366565, 0.316585, 0.301938, 0.153025, 0.083386, 0.095207, 0.119619, 0.029680, 0.005011, 0.003212, 0.001285, 0.000000, 0.000128, 0.000000, 0.000000, 0.000000, 0.000000, 0
0.000000, 0.000000, 0.000146, 0.000292, 0.001166, 0.007728, 0.032224, 0.103088, 0.154558, 0.180513, 0.133270, 0.067947, 0.039223, 0.019830, 0.018372, 0.012540, 0.012831, 0.021726, 0.019539, 0.018226, 0.032661, 0.049430, 0.088069, 0.079612, 0.080341, 0.121751, 0.260854, 0.367441, 0.109649, 0.051325, 0.047534, 0.027995, 0.027121, 0.019976, 0.015018, 0.015164, 0.013560, 0.013706, 0.012394, 0.012102, 0.011519, 0.010936, 0.013269, 0.010644, 0.011665, 0.013123, 0.014435, 0.008749, 0.002479, 0.003208, 0.000000, 0.000000, 0.000437, 0.000437, 0.003499, 0.004374, 0.002333, 0.004374, 0.004666, 0.004374, 0.005395, 0.005249, 0.015018, 0.036161, 0.065760, 0.110232, 0.157475, 0.172493, 0.112128, 0.069843, 0.050450, 0.037765, 0.043597, 0.054241, 0.099442, 0.123647, 0.142019, 0.167244, 0.214341, 0.340320, 0.089673, 0.037911, 0.029599, 0.019830, 0.015747, 0.013560, 0.010353, 0.013852, 0.010498, 0.008457, 0.011956, 0.008165, 0.014727, 0.009915, 0.006707, 0.007582, 0.009915, 0.009769, 0.010207, 0.003208, 0.000000, 0.000292, 0.004228, 0.004083, 0.007290, 0.010061, 0.007436, 0.007290, 0.005249, 0.007436, 0.008457, 0.009623, 0.010353, 0.011082, 0.009915, 0.009769, 0.012248, 0.031787, 0.042722, 0.068822, 0.090985, 0.125542, 0.193490, 0.162286, 0.157620, 0.134291, 0.106441, 0.093610, 0.073342, 0.067802, 0.084132, 0.122626, 0.217257, 0.177305, 0.154267, 0.022163, 0.013706, 0.013269, 0.009915, 0.006561, 0.006999, 0.008165, 0.009769, 0.007874, 0.008020, 0.008749, 0.006853, 0.011082, 0.012831, 0.013852, 0
0.000374, 0.001123, 0.004117, 0.005365, 0.011728, 0.039176, 0.037180, 0.030193, 0.016719, 0.015596, 0.013724, 0.016594, 0.017342, 0.010855, 0.014598, 0.012976, 0.015596, 0.022333, 0.034061, 0.054148, 0.081347, 0.063381, 0.107797, 0.233061, 0.287334, 0.328631, 0.209106, 0.105302, 0.038178, 0.027947, 0.021959, 0.021335, 0.023830, 0.017841, 0.015970, 0.013475, 0.013225, 0.014348, 0.009108, 0.005989, 0.008110, 0.004866, 0.005240, 0.003493, 0.002620, 0.001497, 0.000998, 0.002246, 0.001747, 0.000374, 0.000000, 0.002745, 0.004866, 0.006737, 0.006613, 0.007361, 0.007611, 0.010231, 0.011104, 0.014972, 0.016219, 0.017218, 0.019463, 0.025452, 0.052152, 0.040174, 0.026949, 0.028696, 0.024204, 0.028571, 0.033936, 0.038053, 0.096319, 0.215594, 0.203242, 0.107672, 0.044541, 0.037804, 0.033936, 0.305051, 0.366061, 0.107298, 0.011853, 0.007611, 0.010730, 0.005739, 0.007361, 0.007860, 0.005864, 0.004866, 0.006363, 0.005739, 0.007486, 0.004741, 0.003992, 0.003119, 0.002870, 0.002246, 0.001497, 0.003369, 0.000125, 0.001622, 0.006737, 0.007361, 0.009357, 0.007486, 0.007361, 0.009607, 0.010855, 0.011229, 0.016719, 0.018715, 0.025702, 0.026949, 0.027698, 0.028322, 0.024080, 0.034310, 0.043418, 0.063755, 0.105302, 0.121272, 0.142232, 0.110791, 0.102432, 0.071740, 0.049033, 0.034685, 0.018590, 0.015346, 0.015970, 0.013225, 0.014972, 0.068621, 0.280098, 0.337864, 0.096069, 0.006987, 0.005614, 0.005739, 0.005739, 0.004991, 0.006737, 0.005365, 0.005864, 0.003493, 0.003743, 0.004117, 0.001497, 0.004616, 0
0.047729, 0.060006, 0.027589, 0.014760, 0.016553, 0.014208, 0.013243, 0.020554, 0.032555, 0.058213, 0.085388, 0.110770, 0.172984, 0.140153, 0.108701, 0.088147, 0.081388, 0.121254, 0.108839, 0.091182, 0.021519, 0.022899, 0.025520, 0.023865, 0.022623, 0.022899, 0.024968, 0.032831, 0.028141, 0.031176, 0.032141, 0.034348, 0.026899, 0.026899, 0.029382, 0.032141, 0.041246, 0.063455, 0.080836, 0.088975, 0.055730, 0.027451, 0.020416, 0.013105, 0.007173, 0.006208, 0.002483, 0.000552, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000138, 0.000000, 0.000414, 0.000138, 0.000276, 0.000276, 0.000414, 0.001379, 0.000138, 0.001104, 0.000276, 0.001104, 0.001242, 0.004138, 0.005932, 0.007173, 0.008415, 0.010622, 0.008139, 0.013932, 0.019036, 0.023313, 0.048695, 0.050212, 0.077249, 0.129255, 0.228024, 0.272856, 0.283478, 0.302928, 0.120978, 0.110080, 0.068007, 0.052971, 0.059454, 0.064145, 0.077801, 0.084561, 0.057247, 0.025934, 0.014346, 0.009242, 0.009794, 0.003587, 0.001655, 0.000000, 0.000000, 0.000000, 0.000000, 0.000138, 0.000000, 0.000000, 0.000138, 0.000276, 0.000414, 0.000414, 0.000276, 0.000414, 0.000690, 0.000552, 0.000828, 0.001104, 0.000690, 0.001242, 0.001379, 0.000690, 0.002897, 0.000690, 0.001793, 0.003311, 0.003173, 0.003449, 0.004276, 0.005932, 0.008829, 0.011863, 0.018623, 0.035314, 0.055316, 0.115460, 0.156292, 0.197400, 0.240163, 0.280029, 0.311205, 0.214229, 0.170501, 0.104563, 0.116288, 0.130910, 0.046488, 0.008277, 0.003035, 0.000552, 0.000000, 0.000000, 0.000000, 0
0.029833, 0.046168, 0.025379, 0.013229, 0.008235, 0.012554, 0.012284, 0.022274, 0.020654, 0.022949, 0.019439, 0.021329, 0.024569, 0.026189, 0.034963, 0.086935, 0.111234, 0.141878, 0.142013, 0.152407, 0.172116, 0.210994, 0.225573, 0.143228, 0.141338, 0.076541, 0.046978, 0.018899, 0.011069, 0.017414, 0.032398, 0.024569, 0.009180, 0.004185, 0.006075, 0.005940, 0.007290, 0.008100, 0.006750, 0.006345, 0.006210, 0.007020, 0.010529, 0.007965, 0.007020, 0.006615, 0.007020, 0.005805, 0.003645, 0.000405, 0.001350, 0.003510, 0.001620, 0.000810, 0.001350, 0.002700, 0.005130, 0.012959, 0.011879, 0.012959, 0.014714, 0.017009, 0.030103, 0.024839, 0.024299, 0.026459, 0.033073, 0.038068, 0.040228, 0.033073, 0.036718, 0.028888, 0.044683, 0.105699, 0.169551, 0.261616, 0.327088, 0.361511, 0.250952, 0.120144, 0.020114, 0.012554, 0.011879, 0.010529, 0.005130, 0.005940, 0.006615, 0.008910, 0.007290, 0.007155, 0.005940, 0.006615, 0.008640, 0.007560, 0.007425, 0.008100, 0.010259, 0.009045, 0.005400, 0.003645, 0.000270, 0.000675, 0.003780, 0.003375, 0.007965, 0.010664, 0.010799, 0.012014, 0.008505, 0.009989, 0.010529, 0.011204, 0.013499, 0.013094, 0.016739, 0.014984, 0.019844, 0.030913, 0.027269, 0.027404, 0.035233, 0.045493, 0.071951, 0.117444, 0.153757, 0.186425, 0.128648, 0.112584, 0.047788, 0.034153, 0.022004, 0.018764, 0.024569, 0.047923, 0.083696, 0.128918, 0.159967, 0.325333, 0.120819, 0.006750, 0.004860, 0.004725, 0.008370, 0.005670, 0.006210, 0.006480, 0.006480, 0.011609, 0.018899, 0.012689, 0
0.000000, 0.000000, 0.000427, 0.002240, 0.001173, 0.002027, 0.008959, 0.038931, 0.031785, 0.016532, 0.029438, 0.034558, 0.049810, 0.040211, 0.042557, 0.046077, 0.119886, 0.270170, 0.398482, 0.267610, 0.036691, 0.029971, 0.057703, 0.031145, 0.024532, 0.020265, 0.015679, 0.020799, 0.016639, 0.017599, 0.016746, 0.017066, 0.020265, 0.011519, 0.006933, 0.002133, 0.000853, 0.000107, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000320, 0.000000, 0.000107, 0.000853, 0.001813, 0.002133, 0.002027, 0.002986, 0.003520, 0.003733, 0.005333, 0.006826, 0.011519, 0.028692, 0.090128, 0.124152, 0.068902, 0.078822, 0.116686, 0.097594, 0.064743, 0.032958, 0.078608, 0.508982, 0.287556, 0.019412, 0.013972, 0.019412, 0.016212, 0.015466, 0.019839, 0.013546, 0.006933, 0.002667, 0.000747, 0.000320, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000107, 0.000213, 0.000107, 0.000853, 0.000853, 0.000747, 0.001173, 0.001493, 0.003413, 0.003840, 0.005546, 0.008533, 0.009599, 0.010453, 0.014292, 0.018879, 0.037864, 0.081488, 0.099301, 0.113913, 0.100047, 0.112633, 0.080422, 0.052050, 0.025492, 0.016959, 0.020692, 0.017706, 0.018666, 0.038291, 0.227079, 0.234759, 0.200521, 0.176202, 0.011946, 0.000853, 0.000533, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0
